SCHL,SCHG,POVPIP,WKL,FOD1P
17.0,,,3.0,
19.0,15.0,,1.0,
19.0,15.0,,1.0,
16.0,,46.0,1.0,
18.0,15.0,,1.0,
18.0,15.0,,1.0,
12.0,,1.0,1.0,
19.0,15.0,,1.0,
16.0,,,3.0,
18.0,15.0,,1.0,
16.0,15.0,,1.0,
17.0,,,1.0,
19.0,15.0,,1.0,
18.0,15.0,,1.0,
19.0,15.0,,1.0,
19.0,,55.0,3.0,
16.0,15.0,,1.0,
18.0,15.0,,3.0,
15.0,,,3.0,
16.0,,57.0,1.0,
19.0,15.0,,1.0,
16.0,15.0,,3.0,
19.0,15.0,,1.0,
19.0,,0.0,2.0,
19.0,15.0,,1.0,
16.0,,,3.0,
18.0,15.0,,1.0,
12.0,,1.0,1.0,
19.0,15.0,,1.0,
16.0,,210.0,1.0,
16.0,,210.0,1.0,
4.0,,210.0,,
1.0,,210.0,,
20.0,,61.0,1.0,
2.0,2.0,61.0,,
1.0,,61.0,,
17.0,,66.0,1.0,
16.0,,120.0,3.0,
13.0,,204.0,1.0,
16.0,,204.0,1.0,
21.0,,501.0,1.0,2504.0
21.0,,501.0,1.0,2414.0
21.0,,274.0,1.0,6200.0
19.0,,246.0,1.0,
20.0,,501.0,1.0,
19.0,,501.0,1.0,
23.0,,501.0,1.0,3600.0
21.0,,501.0,1.0,6107.0
21.0,,501.0,1.0,5504.0
17.0,,501.0,1.0,
19.0,,501.0,1.0,
19.0,,501.0,1.0,
16.0,15.0,30.0,1.0,
16.0,15.0,0.0,3.0,
16.0,15.0,30.0,1.0,
18.0,,501.0,3.0,
22.0,,501.0,3.0,5404.0
16.0,,91.0,1.0,
,,91.0,,
,,91.0,,
21.0,,0.0,2.0,5500.0
22.0,,501.0,2.0,2304.0
22.0,,501.0,1.0,6402.0
17.0,,373.0,3.0,
18.0,,373.0,3.0,
11.0,10.0,373.0,,
15.0,,390.0,3.0,
18.0,,278.0,3.0,
21.0,,501.0,1.0,6203.0
21.0,,501.0,3.0,6203.0
11.0,11.0,501.0,,
21.0,,501.0,1.0,6203.0
21.0,,501.0,1.0,6203.0
18.0,,269.0,1.0,
16.0,,304.0,1.0,
16.0,,304.0,1.0,
14.0,14.0,304.0,1.0,
9.0,9.0,304.0,,
18.0,,208.0,1.0,
20.0,,102.0,1.0,
21.0,,364.0,2.0,2300.0
21.0,,364.0,1.0,5098.0
16.0,,284.0,3.0,
16.0,,284.0,3.0,
21.0,,284.0,1.0,1401.0
9.0,9.0,284.0,,
7.0,7.0,284.0,,
16.0,,300.0,2.0,
16.0,,300.0,3.0,
19.0,,13.0,3.0,
21.0,,501.0,2.0,2414.0
21.0,,501.0,3.0,6107.0
22.0,,285.0,2.0,5501.0
21.0,,501.0,3.0,5507.0
23.0,,501.0,1.0,3301.0
21.0,,501.0,3.0,3301.0
16.0,,79.0,3.0,
22.0,,371.0,2.0,2901.0
16.0,15.0,371.0,1.0,
20.0,,501.0,1.0,
19.0,,501.0,2.0,
22.0,,501.0,1.0,2406.0
22.0,,501.0,1.0,3301.0
21.0,,501.0,3.0,3301.0
16.0,,357.0,1.0,
16.0,,357.0,3.0,
20.0,,364.0,3.0,
16.0,,364.0,3.0,
21.0,,272.0,1.0,6107.0
19.0,,272.0,1.0,
,,272.0,,
20.0,15.0,501.0,1.0,
21.0,,501.0,1.0,5503.0
,,501.0,,
20.0,,385.0,1.0,
18.0,,210.0,1.0,
16.0,,339.0,1.0,
14.0,14.0,0.0,3.0,
9.0,9.0,,,
16.0,,111.0,2.0,
12.0,,442.0,1.0,
22.0,,471.0,1.0,6000.0
,,471.0,,
21.0,,234.0,1.0,6205.0
21.0,,416.0,1.0,2102.0
21.0,,501.0,1.0,5200.0
22.0,,501.0,1.0,2300.0
6.0,5.0,501.0,,
16.0,,278.0,1.0,
4.0,4.0,278.0,,
20.0,,259.0,2.0,
22.0,16.0,291.0,1.0,6005.0
15.0,,6.0,1.0,
21.0,,362.0,1.0,3601.0
9.0,9.0,362.0,,
7.0,7.0,362.0,,
16.0,,32.0,2.0,
18.0,,309.0,1.0,
18.0,,427.0,1.0,
21.0,,427.0,1.0,5404.0
1.0,,427.0,,
16.0,,360.0,1.0,
21.0,,360.0,1.0,2304.0
16.0,,310.0,1.0,
22.0,,268.0,1.0,3301.0
16.0,14.0,268.0,1.0,
14.0,13.0,268.0,3.0,
10.0,9.0,268.0,,
16.0,,268.0,3.0,
16.0,,295.0,3.0,
17.0,,501.0,3.0,
15.0,,501.0,3.0,
16.0,,180.0,1.0,
15.0,,125.0,1.0,
20.0,,249.0,1.0,
19.0,,249.0,1.0,
16.0,,249.0,1.0,
4.0,4.0,249.0,,
1.0,,216.0,2.0,
17.0,,216.0,1.0,
12.0,,216.0,3.0,
20.0,,344.0,1.0,
21.0,,209.0,1.0,6200.0
19.0,,209.0,3.0,
22.0,,333.0,1.0,2304.0
16.0,,501.0,1.0,
16.0,,501.0,1.0,
16.0,,241.0,1.0,
17.0,,241.0,1.0,
19.0,,501.0,1.0,
24.0,,501.0,1.0,5200.0
,,501.0,,
16.0,,205.0,1.0,
16.0,,501.0,1.0,
17.0,,501.0,1.0,
9.0,,166.0,3.0,
16.0,,195.0,3.0,
18.0,,195.0,3.0,
16.0,,501.0,1.0,
16.0,,501.0,1.0,
16.0,,203.0,3.0,
19.0,,368.0,1.0,
18.0,,362.0,1.0,
18.0,,362.0,2.0,
16.0,,226.0,3.0,
16.0,,226.0,3.0,
16.0,,411.0,3.0,
16.0,,411.0,1.0,
19.0,15.0,411.0,1.0,
19.0,,411.0,1.0,
19.0,,501.0,1.0,
19.0,,501.0,1.0,
22.0,,0.0,3.0,4101.0
21.0,,0.0,2.0,2417.0
8.0,7.0,0.0,,
21.0,,0.0,2.0,5200.0
17.0,,414.0,1.0,
21.0,,414.0,1.0,6105.0
1.0,1.0,414.0,,
,,414.0,,
16.0,,321.0,3.0,
19.0,,321.0,1.0,
24.0,,391.0,1.0,3603.0
21.0,,83.0,1.0,1301.0
20.0,,83.0,1.0,
6.0,6.0,83.0,,
19.0,,122.0,1.0,
21.0,,483.0,1.0,6000.0
19.0,,483.0,2.0,
1.0,1.0,483.0,,
21.0,,212.0,1.0,6000.0
19.0,,212.0,1.0,
20.0,,203.0,1.0,
21.0,,203.0,1.0,6000.0
16.0,,308.0,3.0,
18.0,,308.0,3.0,
21.0,,501.0,1.0,5507.0
16.0,,501.0,1.0,
18.0,,501.0,1.0,
22.0,,75.0,2.0,6002.0
16.0,,193.0,2.0,
16.0,,110.0,3.0,
16.0,,110.0,1.0,
16.0,,53.0,1.0,
14.0,14.0,89.0,2.0,
16.0,,89.0,3.0,
21.0,16.0,317.0,1.0,5506.0
16.0,,317.0,1.0,
2.0,,317.0,,
14.0,13.0,317.0,1.0,
19.0,,317.0,1.0,
17.0,,139.0,2.0,
20.0,,501.0,2.0,
20.0,,501.0,3.0,
19.0,,501.0,3.0,
20.0,,501.0,1.0,
22.0,,501.0,1.0,6299.0
12.0,12.0,501.0,,
11.0,,501.0,3.0,
16.0,,501.0,3.0,
21.0,,501.0,1.0,5098.0
21.0,,501.0,2.0,2901.0
15.0,,501.0,3.0,
14.0,14.0,501.0,1.0,
19.0,,497.0,1.0,
20.0,,497.0,1.0,
22.0,,497.0,3.0,5501.0
16.0,,240.0,3.0,
16.0,,240.0,1.0,
16.0,,221.0,3.0,
13.0,,221.0,3.0,
19.0,,387.0,1.0,
19.0,,387.0,1.0,
16.0,,389.0,3.0,
22.0,,389.0,3.0,2300.0
16.0,,210.0,3.0,
21.0,,210.0,3.0,3301.0
16.0,,309.0,2.0,
16.0,,309.0,3.0,
22.0,,218.0,3.0,2304.0
21.0,,218.0,1.0,2312.0
18.0,,230.0,1.0,
17.0,,204.0,1.0,
